 NASA/LANGLEY LS(1)-0417 (GA(W)-1) AIRFOIL
1	-0.00074
0.975	0.00604
0.95	0.01287
0.925	0.01965
0.9	0.02639
0.875	0.03313
0.85	0.03983
0.825	0.04644
0.8	0.05291
0.775	0.05913
0.75	0.06517
0.725	0.07096
0.7	0.07639
0.675	0.08144
0.65	0.08604
0.625	0.09013
0.6	0.09374
0.575	0.09674
0.55	0.09917
0.5	0.10269
0.45	0.10456
0.4	0.105
0.35	0.10409
0.3	0.10169
0.25	0.09778
0.2	0.09209
0.175	0.08848
0.15	0.08413
0.125	0.07909
0.1	0.07309
0.075	0.06561
0.05	0.056
0.0375	0.04974
0.025	0.04165
0.0125	0.03069
0.005	0.02035
0.002	0.013
0	0
0.002	-0.00974
0.005	-0.01444
0.0125	-0.02052
0.025	-0.02691
0.0375	-0.03191
0.05	-0.03569
0.075	-0.04209
0.1	-0.047
0.125	-0.05087
0.15	-0.05426
0.175	-0.057
0.2	-0.05926
0.25	-0.06265
0.3	-0.06448
0.35	-0.06517
0.4	-0.06483
0.45	-0.06344
0.5	-0.06091
0.55	-0.05683
0.575	-0.05396
0.6	-0.05061
0.625	-0.04678
0.65	-0.04265
0.675	-0.0383
0.7	-0.03383
0.725	-0.0293
0.75	-0.02461
0.775	-0.0203
0.8	-0.01587
0.825	-0.01191
0.85	-0.00852
0.875	-0.00565
0.9	-0.00352
0.925	-0.00248
0.95	-0.00257
0.975	-0.00396
1	-0.00783
